station,date,max_tmpf,min_tmpf,name,X,Y,GDD,Cumulative_GDD,Station_ID
MN140,2023-09-30,82.04002,62.96001,T.H.65 - East Bethel - MP 25.8   MN US MNDOT,-93.23731231689452,45.3466682434082,22.50001499999999,2683.3502215,MN140
MN141,2023-09-30,91.04002,71.06001,I-35 - Medford - MP 52.1         MN US MNDOT,-93.27835083007812,44.23244857788086,28.530005000000003,2823.0302334999997,MN141
MN142,2023-09-30,90.68,69.98,T.H.52 - Zumbrota - MP 73.9      MN US MNDOT,-92.6500473022461,44.23941040039063,27.99000000000001,2663.1900405000015,MN142
MN143,2023-09-30,87.61998,67.28,U.S.63 - Lake City - MP 62.9     MN US MNDOT,-92.37014770507812,44.38240814208984,26.64,2640.420016499999,MN143
MN144,2023-09-30,91.39999,68.36001,U.S.218 - Lyle - MP 4            MN US MNDOT,-92.94940948486328,43.55812072753906,27.180004999999994,2762.9099764999996,MN144
MN145,2023-09-30,89.419975,66.19999,U.S.63 - Le Roy - MP 0.5         MN US MNDOT,-92.36969757080078,43.50838851928711,26.099995000000007,2639.7003744999984,MN145
MN146,2023-09-30,84.56001,67.460014,I-90 - La Crescent - MP 276.4    MN US MNDOT,-91.30422973632812,43.8578987121582,26.010012000000003,3092.9397449999997,MN146
MN147,2023-09-30,90.86001,61.16001,I-90 - Magnolia - MP 21.6        MN US MNDOT,-96.08824920654295,43.63808822631836,23.580005,2766.3299704999986,MN147
MN148,2023-09-30,92.11998,68.54002,I-90 - Welcome - MP 93.7         MN US MNDOT,-94.6151885986328,43.68109893798828,27.27001,2789.100167500001,MN148
MN149,2023-09-30,91.76001,71.24002,I-90 - Wells - MP 138.7          MN US MNDOT,-93.72737884521484,43.65769958496094,28.620010000000008,2758.9501215,MN149
MN150,2023-09-30,91.04002,60.799988,T.H.60 - Mountain Lake - MP 48   MN US MNDOT,-94.9998016357422,43.91899108886719,23.399993999999992,2765.609915499999,MN150
MN151,2023-09-30,84.56001,58.640022,U.S.14 - Springfield - MP 80.7   MN US MNDOT,-94.89512634277344,44.26805114746094,21.60001600000001,2817.000216500001,MN151
MN152,2023-09-30,92.29999,70.88,T.H.30 - Mapleton - MP 146.8     MN US MNDOT,-93.91436767578124,43.89870834350586,28.439999999999998,2775.1499479999998,MN152
MN153,2023-09-30,69.98,58.640022,T.H.212 - Dawson - MP 24.1       MN US MNDOT,-95.9616928100586,44.93537139892578,14.310011000000003,2811.0600314999997,MN153
MN154,2023-09-30,88.16001,57.91998,U.S.75 - Trosky - MP 30.3        MN US MNDOT,-96.26497650146484,43.92211151123047,21.959990000000005,2700.2700565,MN154
MN155,2023-09-30,73.58,59.18,T.H.68 - Milroy - MP 59.0        MN US MNDOT,-95.4724578857422,44.399688720703125,16.379999999999995,2788.8300820000004,MN155
MN156,2023-09-30,72.68,60.08,T.H.68 - Taunton - MP 22.9       MN US MNDOT,-96.05168151855467,44.58692932128906,16.379999999999995,2890.4399464999997,MN156
MN157,2023-09-30,74.11998,58.99999,T.H.212 - Hector - MP 84.4       MN US MNDOT,-94.8431625366211,44.76047134399414,16.559984999999998,2720.7898705,MN157
MN158,2023-09-30,70.34002,59.89999,U.S.75 - Canby - MP 84.0         MN US MNDOT,-96.27693176269533,44.67417144775391,15.120004999999992,2863.710072500001,MN158
MN159,2023-09-30,70.88,61.88,U.S.12 - Atwater - MP 85.4       MN US MNDOT,-94.81175994873048,45.1390495300293,16.379999999999995,2691.7199665000003,MN159
MN160,2023-09-30,73.04002,56.48,U.S.14 - Florence - MP 21.2      MN US MNDOT,-96.0463409423828,44.24031066894531,14.760009999999994,2705.5800834999995,MN160
MN161,2023-09-30,84.38,64.21998,U.S.12 - Delano - MP 140.4       MN US MNDOT,-93.7660675048828,45.03544998168945,24.299990000000008,2873.789902,MN161
MN162,2023-09-30,80.24002,67.81998,U.S.61 - Winona                  MN US MNDOT,-91.42903900146484,43.9787712097168,24.03,2858.67003,MN162
